method,id,gold,base_label,predicted_label,biolinkbert_label,uncertainty_score,audit_score,label_entropy,maybe_fraction,inconclusive_fraction,mean_disagreement_with_mode,flip_rate,panel_uncertainty_conf,bert_is_maybe,semantic_entropy,supported,refuted,silent
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-12377809,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-24577079,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-18284441,maybe,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-26163474,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-24669960,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-18802997,maybe,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-19100463,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-15502995,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-17621202,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-18537964,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-21214884,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-11411430,maybe,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-12913878,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-24476003,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-26708803,maybe,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-12765819,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-22758782,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-25079920,maybe,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-25475395,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-14627582,no,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-25793749,maybe,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-19130332,yes,yes,yes,yes,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-24666444,no,no,no,no,,,,,,,,,,,,,
debate_balanced90_ollama_r2_bertgate,pubmedqa-official-19103915,maybe,yes,yes,yes,,,,,,,,,,,,,
