[2026-08-20T07:26:05+00:00] watchdog start pid=3899865
[2026-08-20T07:26:05+00:00] stage1 still running
[2026-08-20T07:28:05+00:00] stage1 still running
[2026-08-20T07:30:05+00:00] stage1 still running
[2026-08-20T07:32:05+00:00] stage1 still running
[2026-08-20T07:34:05+00:00] stage1 still running
[2026-08-20T07:36:05+00:00] stage1 still running
[2026-08-20T07:38:05+00:00] stage1 still running
[2026-08-20T07:40:05+00:00] stage1 still running
[2026-08-20T07:42:05+00:00] stage1 still running
[2026-08-20T07:44:05+00:00] stage1 still running
[2026-08-20T07:46:05+00:00] stage1 still running
[2026-08-20T07:48:05+00:00] stage1 still running
[2026-08-20T07:50:05+00:00] stage1 still running
[2026-08-20T07:52:05+00:00] stage1 still running
[2026-08-20T07:54:05+00:00] stage1 still running
[2026-08-20T07:56:05+00:00] stage1 still running
[2026-08-20T07:58:05+00:00] stage1 still running
[2026-08-20T08:00:05+00:00] stage1 still running
[2026-08-20T08:02:05+00:00] stage1 still running
[2026-08-20T08:04:05+00:00] stage1 still running
[2026-08-20T08:06:05+00:00] stage1 still running
[2026-08-20T08:08:06+00:00] stage1 still running
[2026-08-20T08:10:06+00:00] stage1 still running
[2026-08-20T08:12:06+00:00] stage1 still running
[2026-08-20T08:14:06+00:00] stage1 still running
[2026-08-20T08:16:06+00:00] stage1 still running
[2026-08-20T08:18:06+00:00] stage1 still running
[2026-08-20T08:20:06+00:00] stage1 still running
[2026-08-20T08:22:06+00:00] stage1 still running
[2026-08-20T08:24:06+00:00] stage1 still running
[2026-08-20T08:26:06+00:00] stage1 still running
[2026-08-20T08:28:06+00:00] stage1 still running
[2026-08-20T08:30:06+00:00] stage1 still running
[2026-08-20T08:32:06+00:00] stage1 still running
[2026-08-20T08:34:06+00:00] stage1 still running
[2026-08-20T08:36:06+00:00] stage1 still running
[2026-08-20T08:38:06+00:00] stage1 still running
[2026-08-20T08:40:06+00:00] stage1 still running
[2026-08-20T08:42:06+00:00] stage1 still running
[2026-08-20T08:44:06+00:00] stage1 still running
[2026-08-20T08:46:06+00:00] stage1 still running
[2026-08-20T08:48:06+00:00] stage1 still running
[2026-08-20T08:50:06+00:00] stage1 still running
[2026-08-20T08:52:06+00:00] stage1 still running
[2026-08-20T08:54:06+00:00] stage1 still running
[2026-08-20T08:56:06+00:00] stage1 still running
[2026-08-20T08:58:06+00:00] stage1 still running
[2026-08-20T09:00:06+00:00] stage1 still running
[2026-08-20T09:02:07+00:00] stage1 still running
[2026-08-20T09:04:07+00:00] stage1 still running
[2026-08-20T09:06:07+00:00] stage1 still running
[2026-08-20T09:08:07+00:00] stage1 still running
[2026-08-20T09:10:07+00:00] stage1 still running
[2026-08-20T09:12:07+00:00] stage1 still running
[2026-08-20T09:14:07+00:00] stage1 still running
[2026-08-20T09:16:07+00:00] stage1 still running
[2026-08-20T09:18:07+00:00] stage1 still running
[2026-08-20T09:20:07+00:00] stage1 still running
[2026-08-20T09:22:07+00:00] stage1 still running
[2026-08-20T09:24:07+00:00] stage1 still running
[2026-08-20T09:26:07+00:00] stage1 still running
[2026-08-20T09:28:07+00:00] stage1 still running
[2026-08-20T09:30:07+00:00] stage1 still running
[2026-08-20T09:32:07+00:00] stage1 still running
[2026-08-20T09:34:07+00:00] stage1 still running
[2026-08-20T09:36:07+00:00] stage1 still running
[2026-08-20T09:38:07+00:00] stage1 still running
[2026-08-20T09:40:07+00:00] stage1 still running
[2026-08-20T09:42:07+00:00] stage1 still running
[2026-08-20T09:44:07+00:00] stage1 still running
[2026-08-20T09:46:07+00:00] stage1 still running
[2026-08-20T09:48:07+00:00] stage1 still running
[2026-08-20T09:50:07+00:00] stage1 still running
[2026-08-20T09:52:07+00:00] stage1 still running
[2026-08-20T09:54:08+00:00] stage1 still running
[2026-08-20T09:56:08+00:00] stage1 still running
[2026-08-20T09:58:08+00:00] stage1 still running
[2026-08-20T10:00:08+00:00] stage1 still running
[2026-08-20T10:02:08+00:00] stage1 still running
[2026-08-20T10:04:08+00:00] stage1 still running
[2026-08-20T10:06:08+00:00] stage1 still running
[2026-08-20T10:08:08+00:00] stage1 still running
[2026-08-20T10:10:08+00:00] stage1 still running
[2026-08-20T10:12:08+00:00] stage1 still running
[2026-08-20T10:14:08+00:00] stage1 still running
[2026-08-20T10:16:08+00:00] stage1 still running
[2026-08-20T10:18:08+00:00] stage1 still running
[2026-08-20T10:20:08+00:00] stage1 still running
[2026-08-20T10:22:08+00:00] stage1 still running
[2026-08-20T10:24:08+00:00] stage1 still running
[2026-08-20T10:26:08+00:00] stage1 still running
[2026-08-20T10:28:08+00:00] stage1 still running
[2026-08-20T10:30:08+00:00] stage1 still running
[2026-08-20T10:32:08+00:00] stage1 still running
[2026-08-20T10:34:08+00:00] stage1 still running
[2026-08-20T10:36:08+00:00] stage1 still running
[2026-08-20T10:38:08+00:00] stage1 still running
[2026-08-20T10:40:09+00:00] stage1 still running
[2026-08-20T10:42:09+00:00] stage1 still running
[2026-08-20T10:44:09+00:00] stage1 still running
[2026-08-20T10:46:09+00:00] stage1 still running
[2026-08-20T10:48:09+00:00] stage1 still running
[2026-08-20T10:50:09+00:00] stage1 still running
[2026-08-20T10:52:09+00:00] stage1 still running
